Source,Target
0,0
0,1
1,2
1,0
2,0
3,3
3,4
3,5
3,6
3,7
3,2
3,8
3,9
3,10
3,11
3,12
3,0
3,13
3,14
3,15
3,16
3,17
3,18
4,4
4,19
4,20
4,6
4,21
4,7
4,2
4,22
4,8
4,9
4,10
4,12
4,0
4,13
4,14
4,15
4,23
4,16
4,17
4,24
4,18
4,25
5,4
5,5
5,2
5,8
5,9
5,10
5,26
5,0
5,13
5,15
5,17
5,24
5,18
6,3
6,4
6,5
6,7
6,27
6,2
6,22
6,8
6,9
6,10
6,28
6,13
6,15
6,16
6,24
7,2
7,0
7,15
8,0
9,8
10,15
11,13
12,6
12,15
12,29
13,15
14,15
15,15
16,4
16,6
17,7
17,0
18,13
19,15
20,15
21,6
21,15
22,6
22,13
22,1
23,6
23,2
23,15
24,5
24,6
24,7
24,10
24,30
24,15
25,31
26,6
26,1
27,5
27,6
27,32
27,2
27,8
27,10
27,15
28,5
28,6
28,1
29,1
30,15
31,1
32,8
32,16
33,33
33,34
34,2
34,15
34,1
35,9
35,10
35,15
36,15
37,0
38,1
39,9
39,15
40,0
40,1
41,15
42,10
43,5
44,24
45,15
45,1
46,1
47,1
48,15
48,1
48,17
49,0
50,9
50,15
51,15
52,1
53,0
53,1
54,0
55,1
56,6
56,1
57,15
57,1
58,15
58,1
59,0
60,15
61,1
62,15
63,35
64,24
65,2
65,15
65,1
66,2
66,15
66,1
67,13
68,4
68,27
68,8
68,9
68,10
68,15
68,24
68,36
69,4
69,37
69,27
69,2
69,8
69,9
69,10
69,0
69,13
69,15
69,17
69,24
69,29
70,6
70,15
71,2
72,6
73,15
74,8
74,31
74,0
74,16
75,15
76,15
76,1
77,1
77,29
78,15
79,4
79,27
79,8
79,9
79,10
79,15
79,1
79,38
79,17
79,24
80,13
81,15
82,1
83,24
84,1
85,1
86,39
86,8
86,0
86,13
86,1
87,1
88,1
89,5
89,2
89,1
89,29
90,15
90,1
91,2
91,9
91,15
92,1
93,15
94,1
95,6
95,15
95,1
96,1
97,2
98,15
99,15
100,8
101,6
101,15
102,8
102,9
102,15
102,1
103,15
103,1
104,1
105,8
105,0
106,15
107,10
108,1
109,15
110,13
110,15
111,6
111,2
112,1
113,15
114,12
115,8
115,10
115,15
115,1
115,24
116,8
116,1
117,1
118,1
119,17
120,15
121,2
122,1
123,6
123,8
123,9
123,15
123,1
123,16
123,17
124,1
125,1
126,1
127,1
128,13
129,13
129,15
130,1
131,15
132,14
132,15
133,2
133,8
133,9
133,13
133,15
133,38
133,17
133,24
134,15
135,13
136,6
137,13
137,15
138,15
139,8
140,6
140,15
141,15
142,15
143,9
143,15
143,1
144,1
145,14
146,15
147,7
147,8
147,1
147,17
148,1
149,1
150,6
150,15
151,6
152,27
152,8
152,31
152,40
152,12
152,15
152,1
152,41
152,16
152,42
153,10
154,12
155,1
156,1
157,1
158,2
159,15
160,15
161,1
162,1
163,20
163,15
164,1
164,24
165,2
165,9
165,15
165,1
166,1
167,6
167,2
167,15
168,0
169,2
169,15
170,1
171,1
172,1
173,1
174,6
174,1
175,6
175,1
176,15
177,15
177,1
178,1
179,1
180,1
181,15
182,1
183,1
184,13
185,1
186,15
186,1
187,15
187,1
188,15
189,12
189,1
190,1
191,6
192,1
193,1
194,1
195,13
196,2
196,15
197,27
197,8
197,31
197,15
197,1
197,43
197,16
197,17
198,1
199,19
199,27
199,8
199,10
199,1
200,8
200,9
200,13
200,15
200,16
200,24
201,8
202,15
203,1
204,1
205,15
206,1
207,7
207,27
207,2
207,8
207,9
207,10
207,31
207,0
207,15
207,24
208,12
209,1
210,15
211,15
212,8
212,24
213,15
213,1
214,1
215,0
216,15
216,1
216,17
217,15
217,1
218,6
219,1
220,10
220,15
221,32
221,27
221,8
221,15
221,1
221,43
221,16
221,24
222,2
223,15
224,8
224,10
224,31
224,15
224,17
224,24
225,1
226,37
226,0
226,15
227,15
227,1
228,15
229,15
230,1
231,15
232,15
233,15
234,6
234,13
234,24
235,6
236,15
237,15
238,1
239,6
239,15
240,30
240,13
240,15
240,16
240,24
241,24
242,1
243,6
244,1
245,1
246,1
247,15
248,6
248,15
248,1
249,1
250,1
251,6
252,2
253,1
254,6
254,1
255,1
256,1
257,8
258,7
259,15
260,15
261,1
262,1
263,15
263,1
264,15
265,15
266,1
267,1
268,15
269,8
270,1
271,9
271,17
272,1
