ncRNA_Name,Index
hsa-let-7a-1,0
hsa-let-7a-2,1
hsa-let-7a-3,2
hsa-let-7b,3
hsa-let-7c,4
hsa-let-7d,5
hsa-let-7e,6
hsa-let-7f-1,7
hsa-let-7f-2,8
hsa-mir-16-1,9
hsa-mir-17,10
hsa-mir-18a,11
hsa-mir-19b-1,12
hsa-mir-20a,13
hsa-mir-22,14
hsa-mir-23a,15
hsa-mir-24-1,16
hsa-mir-24-2,17
hsa-mir-26a-1,18
hsa-mir-27a,19
hsa-mir-28,20
hsa-mir-29a,21
hsa-mir-30a,22
hsa-mir-31,23
hsa-mir-92a-1,24
hsa-mir-92a-2,25
hsa-mir-95,26
hsa-mir-29b-1,27
hsa-mir-29b-2,28
hsa-mir-103a-2,29
hsa-mir-105-1,30
hsa-mir-107,31
mmu-mir-126a,32
mmu-mir-142a,33
hsa-mir-192,34
mmu-mir-193a,35
hsa-mir-197,36
hsa-mir-199a-1,37
hsa-mir-129-1,38
hsa-mir-148a,39
hsa-mir-30c-2,40
hsa-mir-139,41
hsa-mir-147a,42
hsa-mir-7-1,43
hsa-mir-7-3,44
hsa-mir-10a,45
hsa-mir-10b,46
hsa-mir-34a,47
hsa-mir-181a-2,48
hsa-mir-181b-1,49
hsa-mir-181c,50
hsa-mir-183,51
hsa-mir-187,52
hsa-mir-196a-2,53
hsa-mir-199a-2,54
hsa-mir-204,55
hsa-mir-205,56
hsa-mir-210,57
hsa-mir-212,58
hsa-mir-181a-1,59
hsa-mir-214,60
hsa-mir-215,61
hsa-mir-217,62
hsa-mir-218-2,63
hsa-mir-219a-1,64
hsa-mir-221,65
hsa-mir-222,66
hsa-mir-223,67
hsa-let-7g,68
hsa-let-7i,69
hsa-mir-23b,70
hsa-mir-27b,71
hsa-mir-30b,72
hsa-mir-124-3,73
hsa-mir-125b-1,74
hsa-mir-132,75
hsa-mir-137,76
hsa-mir-138-2,77
hsa-mir-140,78
hsa-mir-142,79
hsa-mir-145,80
hsa-mir-152,81
hsa-mir-153-1,82
hsa-mir-153-2,83
hsa-mir-191,84
hsa-mir-9-1,85
hsa-mir-125b-2,86
hsa-mir-129-2,87
hsa-mir-134,88
