ncRNA_Name,miRBase_ID
hsa-let-7a-1,MI0000060
hsa-let-7a-2,MI0000061
hsa-let-7a-3,MI0000062
hsa-let-7b,MI0000063
hsa-let-7c,MI0000064
hsa-let-7d,MI0000065
hsa-let-7e,MI0000066
hsa-let-7f-1,MI0000067
hsa-let-7f-2,MI0000068
hsa-mir-16-1,MI0000070
hsa-mir-17,MI0000071
hsa-mir-18a,MI0000072
hsa-mir-19b-1,MI0000074
hsa-mir-20a,MI0000076
hsa-mir-22,MI0000078
hsa-mir-23a,MI0000079
hsa-mir-24-1,MI0000080
hsa-mir-24-2,MI0000081
hsa-mir-26a-1,MI0000083
hsa-mir-27a,MI0000085
hsa-mir-28,MI0000086
hsa-mir-29a,MI0000087
hsa-mir-30a,MI0000088
hsa-mir-31,MI0000089
hsa-mir-92a-1,MI0000093
hsa-mir-92a-2,MI0000094
hsa-mir-95,MI0000097
hsa-mir-29b-1,MI0000105
hsa-mir-29b-2,MI0000107
hsa-mir-103a-2,MI0000108
hsa-mir-105-1,MI0000111
hsa-mir-107,MI0000114
mmu-mir-126a,MI0000153
mmu-mir-142a,MI0000167
hsa-mir-192,MI0000234
mmu-mir-193a,MI0000235
hsa-mir-197,MI0000239
hsa-mir-199a-1,MI0000242
hsa-mir-129-1,MI0000252
hsa-mir-148a,MI0000253
hsa-mir-30c-2,MI0000254
hsa-mir-139,MI0000261
hsa-mir-147a,MI0000262
hsa-mir-7-1,MI0000263
hsa-mir-7-3,MI0000265
hsa-mir-10a,MI0000266
hsa-mir-10b,MI0000267
hsa-mir-34a,MI0000268
hsa-mir-181a-2,MI0000269
hsa-mir-181b-1,MI0000270
hsa-mir-181c,MI0000271
hsa-mir-183,MI0000273
hsa-mir-187,MI0000274
hsa-mir-196a-2,MI0000279
hsa-mir-199a-2,MI0000281
hsa-mir-204,MI0000284
hsa-mir-205,MI0000285
hsa-mir-210,MI0000286
hsa-mir-212,MI0000288
hsa-mir-181a-1,MI0000289
hsa-mir-214,MI0000290
hsa-mir-215,MI0000291
hsa-mir-217,MI0000293
hsa-mir-218-2,MI0000295
hsa-mir-219a-1,MI0000296
hsa-mir-221,MI0000298
hsa-mir-222,MI0000299
hsa-mir-223,MI0000300
hsa-let-7g,MI0000433
hsa-let-7i,MI0000434
hsa-mir-23b,MI0000439
hsa-mir-27b,MI0000440
hsa-mir-30b,MI0000441
hsa-mir-124-3,MI0000445
hsa-mir-125b-1,MI0000446
hsa-mir-132,MI0000449
hsa-mir-137,MI0000454
hsa-mir-138-2,MI0000455
hsa-mir-140,MI0000456
hsa-mir-142,MI0000458
hsa-mir-145,MI0000461
hsa-mir-152,MI0000462
hsa-mir-153-1,MI0000463
hsa-mir-153-2,MI0000464
hsa-mir-191,MI0000465
hsa-mir-9-1,MI0000466
hsa-mir-125b-2,MI0000470
hsa-mir-129-2,MI0000473
hsa-mir-134,MI0000474
hsa-mir-138-1,MI0000476
hsa-mir-146a,MI0000477
hsa-mir-149,MI0000478
hsa-mir-184,MI0000481
hsa-mir-188,MI0000484
hsa-mir-190a,MI0000486
hsa-mir-193a,MI0000487
hsa-mir-194-1,MI0000488
